Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NC_019098.1,51.37939762085548,39510,20300,Absent,Transmissible
NZ_CP063952.1,52.55633287236639,49172,25843,Absent,Non-transmissible
NZ_CP092285.1,53.24223649701623,210472,112060,Absent,Non-transmissible
NZ_CP038879.1,38.38206266962744,32424,12445,Absent,Non-transmissible
NZ_CP086969.1,59.585066032993645,43766,26078,Absent,Transmissible
NZ_CP042490.1,52.00837584963356,60173,31295,Absent,Transmissible
NZ_CP018060.1,39.51582493275346,39779,15719,Absent,Transmissible
NZ_KT186230.1,32.52710959431937,181670,59092,Absent,Non-transmissible
NC_019289.1,58.81909073759668,5301,3118,Absent,Transmissible
NZ_MH924589.1,46.97309805388703,288678,135601,Absent,Transmissible
NC_018989.1,24.306283970630304,20974,5098,Absent,Non-transmissible
NZ_CP019147.1,35.114725530060994,6886,2418,Absent,Transmissible
NZ_CP035508.1,62.37707859791841,83590,52141,Absent,Non-transmissible
NZ_CP018299.1,40.29606190670134,319190,128621,Absent,Transmissible
NZ_CP065669.1,65.0771106197199,352740,229553,Absent,Transmissible
NZ_CP043620.1,60.84989456195284,78245,47612,Absent,Transmissible
NZ_CP059306.1,45.78429017535432,4163,1906,Absent,Non-transmissible
NZ_CP095203.1,30.57964399817435,2191,670,Absent,Non-transmissible
NZ_CP027124.1,34.37177871950521,8731,3001,Absent,Non-transmissible
NZ_KX859226.1,37.68545994065282,2022,762,Absent,Non-transmissible
NZ_CP056746.1,52.51933932678235,4783,2512,Absent,Non-transmissible
NZ_LR134461.1,72.18252039462449,152246,109895,Absent,Non-transmissible
NC_019739.1,45.27029340271834,146045,66115,Absent,Transmissible
NC_007105.1,31.94519728603204,53501,17091,Absent,Transmissible
NZ_CP020984.2,61.16348344138777,57070,34906,Absent,Transmissible
NZ_CP043823.1,47.138047138047135,100386,47320,Absent,Transmissible
NZ_CP086774.1,57.48432223830198,41460,23833,Absent,Transmissible
NZ_MN101853.1,51.332152774982895,198776,102036,Absent,Transmissible
NZ_CP043439.1,60.03677147592303,347552,208659,Absent,Non-transmissible
NZ_CP061506.1,40.70662313432836,8576,3491,Absent,Non-transmissible
NZ_CP043806.1,30.640087654190083,28293,8669,Absent,Non-transmissible
NZ_LN868939.1,70.20676624544899,2657929,1866046,Absent,Non-transmissible
NZ_CP021019.2,61.26275859371945,51142,31331,Absent,Transmissible
NZ_CP075066.1,50.11933174224344,4609,2310,Absent,Transmissible
NZ_LT985228.1,52.13414247083169,157534,82129,Absent,Transmissible
NZ_CP064225.1,54.44207374134381,133575,72721,Absent,Transmissible
NZ_CP016288.1,58.88187629132232,247808,145914,Absent,Transmissible
NZ_CP029459.1,26.318643362772697,134627,35432,Absent,Non-transmissible
NZ_CP071719.1,46.15990206098076,276907,127820,Absent,Non-transmissible
NZ_OW968127.1,51.21797795216154,63589,32569,Absent,Transmissible
NZ_MK388403.1,34.00696864111498,1435,488,Absent,Non-transmissible
NZ_MT559996.1,51.82670473706693,88958,46104,Absent,Transmissible
NZ_MG271839.1,54.03261646667826,103506,55927,Absent,Transmissible
NZ_CP055378.1,56.600277906438166,2159,1222,Absent,Non-transmissible
NZ_MN101856.1,46.30757917957876,190390,88165,Absent,Transmissible
NZ_CP072114.1,65.28542035504091,41798,27288,Absent,Transmissible
NZ_CP031901.1,50.4004496276521,7117,3587,Absent,Transmissible
NC_009353.1,62.17076781275312,35803,22259,Absent,Non-transmissible
NZ_CP083012.1,53.16324300699301,91520,48655,Absent,Non-transmissible
NZ_CP016941.1,42.44700231864856,120760,51259,Absent,Transmissible
NZ_CP075938.1,25.63289649219179,63715,16332,Absent,Transmissible
NZ_CP012644.1,49.7655433702291,235438,117167,Absent,Transmissible
NZ_CP024681.1,51.14967332906701,134386,68738,Absent,Transmissible
NZ_CP068087.1,29.540066382171645,2109,623,Absent,Non-transmissible
NZ_CP036416.1,65.13698630136986,1460,951,Absent,Non-transmissible
NZ_MT349890.1,41.78158777487887,2683,1121,Absent,Non-transmissible
NC_017402.1,28.990801748320177,30658,8888,Absent,Non-transmissible
NC_013944.2,31.3729572186947,57642,18084,Absent,Non-transmissible
NZ_LR890318.1,50.81910088570521,226712,115213,Absent,Non-transmissible
NZ_CP039891.1,57.57792339219754,158104,91033,Absent,Transmissible
NZ_MZ475708.1,49.9722412487833,138695,69309,Absent,Transmissible
NZ_CP050939.1,37.867194282368615,49531,18756,Absent,Non-transmissible
NZ_CP036373.1,49.19707085538041,108291,53276,Absent,Non-transmissible
NZ_CP044182.1,41.17678268251273,37696,15522,Absent,Transmissible
NZ_CP056436.1,49.50998252940572,107037,52994,Absent,Non-transmissible
NZ_MH202956.1,42.24101763748343,59589,25171,Absent,Transmissible
NZ_CP028934.1,40.58203429002665,42403,17208,Absent,Non-transmissible
NZ_KM583818.1,33.713408617476155,9121,3075,Absent,Transmissible
NZ_CP081808.1,49.33239634574842,4269,2106,Absent,Non-transmissible
NZ_LR135367.1,34.07695861659296,15151,5163,Absent,Non-transmissible
NZ_CP087617.1,48.63600935307872,1283,624,Absent,Non-transmissible
NZ_CP094531.1,31.92929373357752,50236,16040,Absent,Non-transmissible
NZ_CP054708.1,69.10179819483928,602938,416641,Absent,Non-transmissible
NZ_CP036372.1,53.57064305145569,172770,92554,Absent,Transmissible
NZ_CP067567.1,53.3378367978657,116947,62377,Absent,Non-transmissible
NZ_CP043298.1,51.391282935237626,4061,2087,Absent,Transmissible
NZ_CP097362.1,46.9722598105548,5912,2777,Orphan island,Non-transmissible
NC_022884.1,35.26598671124466,23629,8333,Absent,Non-transmissible
NZ_MT039191.1,50.41641849806681,99059,49942,Absent,Transmissible
NZ_CP088945.1,31.803840610758385,25673,8165,Absent,Non-transmissible
NZ_AP023221.2,49.25224936223516,130926,64484,Absent,Transmissible
NZ_CP086436.1,52.024631461093485,5359,2788,Absent,Transmissible
NZ_CP056729.1,52.14321792634769,87112,45423,Absent,Non-transmissible
NZ_CP028479.1,50.57752725928664,129864,65682,Absent,Transmissible
NZ_LR890707.1,51.42521259866563,65499,33683,Absent,Transmissible
NZ_CP045343.1,43.13365092464083,53318,22998,Absent,Transmissible
NC_012244.1,28.147555621698043,53756,15131,Absent,Non-transmissible
NC_014108.1,46.84417563464969,84653,39655,Absent,Transmissible
NZ_CP066617.1,35.68656440583995,37877,13517,Absent,Non-transmissible
NZ_CP042569.1,54.84001620089105,4938,2708,Absent,Transmissible
NZ_CP010608.1,56.64826894129453,5979,3387,Absent,Transmissible
NZ_CP066010.1,50.18785727457127,86768,43547,Absent,Transmissible
NZ_CP083670.1,61.71860743324074,49319,30439,Absent,Non-transmissible
NZ_CP064315.1,44.34935680433311,73850,32752,Absent,Transmissible
NZ_CP046170.1,35.52567633241536,6173,2193,Absent,Transmissible
NZ_LR999867.1,51.11654971413484,98473,50336,Absent,Transmissible
NZ_CP024531.1,50.68106777100006,89345,45281,Absent,Non-transmissible
NZ_CP043202.1,42.421957936520144,64997,27573,Absent,Transmissible
NC_009478.1,67.55857732938553,27357,18482,Absent,Transmissible
NZ_CP034277.1,41.18145845110232,7076,2914,Absent,Transmissible
NZ_MH522715.1,36.75528507367073,6244,2295,Absent,Non-transmissible
NZ_CP024863.1,51.52633055034194,139059,71652,Absent,Transmissible
NZ_MZ156797.1,50.29645651074453,185862,93482,Absent,Transmissible
NZ_CP029714.1,63.494539781591264,41024,26048,Absent,Non-transmissible
NZ_CP028195.1,47.27483683828861,68950,32596,Absent,Non-transmissible
NZ_CP096835.1,50.480177059276365,103920,52459,Absent,Transmissible
NZ_CP050111.1,60.86542271842318,580410,353269,Absent,Non-transmissible
NZ_CP013775.1,39.31986364014301,36081,14187,Absent,Non-transmissible
NZ_CP017615.1,47.78619550685506,38147,18229,Absent,Transmissible
NZ_CP098216.1,50.65323366915827,15385,7793,Absent,Non-transmissible
NC_005919.1,55.33782099227125,40110,22196,Absent,Non-transmissible
NZ_LC542972.1,46.29406273211085,293502,135874,Absent,Transmissible
NZ_CP050909.1,33.567435458044216,71194,23898,Absent,Transmissible
NZ_CP076191.1,33.04688407250615,94723,31303,Absent,Transmissible
NZ_CP087575.1,50.89632230641286,5411,2754,Absent,Transmissible
NZ_MT230288.1,50.919117647058826,1088,554,Absent,Non-transmissible
NZ_KP691637.1,60.680851063829785,7050,4278,Absent,Transmissible
NZ_CP016922.1,50.995235982795535,103694,52879,Absent,Transmissible
NZ_CP069461.1,50.54899867890358,114299,57777,Absent,Transmissible
NZ_MZ475694.1,53.90034622911335,99645,53709,Absent,Non-transmissible
NZ_CP075354.1,61.338118903000186,21732,13330,Absent,Transmissible
NZ_CP054290.1,51.83398613528021,176419,91445,Absent,Transmissible
NZ_CP042842.1,33.37511003685302,67023,22369,Absent,Transmissible
NC_021660.2,52.91273692885267,54605,28893,Absent,Transmissible
NZ_CP066761.1,43.40592861464005,3306,1435,Absent,Non-transmissible
NZ_CP084624.1,31.119858144348008,182157,56687,Absent,Non-transmissible
NZ_CP045262.1,45.27575442247659,9610,4351,Absent,Non-transmissible
NZ_CP057321.1,52.89731637409602,98039,51860,Absent,Non-transmissible
NZ_CP022147.1,51.20981054948511,63605,32572,Absent,Transmissible
NZ_CP089406.1,52.857760751359365,64736,34218,Absent,Transmissible
NZ_CP067308.1,45.96896691806348,226468,104105,Absent,Transmissible
NZ_CP038230.1,28.282214799068733,19758,5588,Absent,Non-transmissible
NZ_CP048825.1,50.77946885205496,64916,32964,Absent,Transmissible
NZ_CP048960.1,49.50980392156863,1224,606,Absent,Non-transmissible
NC_023385.1,28.655720882503847,3898,1117,Absent,Transmissible
NZ_CP025863.1,47.59336128728657,142377,67762,Absent,Non-transmissible
NZ_CP079188.1,53.094128872923214,71264,37837,Absent,Non-transmissible
NZ_CP039072.1,37.27255315073741,57431,21406,Absent,Transmissible
NZ_CP070248.1,72.23429689198001,9202,6647,Absent,Non-transmissible
NZ_MN824002.1,51.0761333281041,229479,117209,Absent,Transmissible
NZ_CP072562.1,54.332838607746446,41774,22697,Absent,Transmissible
NC_007094.1,38.09082483781279,8632,3288,Absent,Non-transmissible
NZ_CP010312.1,51.378643824187805,242122,124399,Absent,Transmissible
NZ_MK347237.1,50.58840105957279,177430,89759,Absent,Non-transmissible
NZ_CP028588.1,50.95669217845809,42856,21838,Absent,Non-transmissible
NZ_MH785247.1,28.376151236063983,20630,5854,Absent,Non-transmissible
NZ_CP097777.1,53.0819976292326,38806,20599,Absent,Non-transmissible
NZ_CP080020.1,31.199785752544187,3734,1165,Absent,Non-transmissible
NZ_CP037018.1,26.49253731343284,536,142,Absent,Non-transmissible
NZ_CP097184.1,50.83232810615199,4145,2107,Absent,Non-transmissible
NZ_LT991960.1,54.099897060857,65087,35212,Absent,Transmissible
NZ_CP044859.1,36.24229979466119,974,353,Absent,Non-transmissible
NZ_CP068164.1,53.31634410083339,29038,15482,Absent,Transmissible
NZ_AP025866.1,51.81202708084429,2511,1301,Absent,Non-transmissible
NZ_CP028319.1,53.12775798819714,94045,49964,Absent,Transmissible
NZ_LR135228.1,35.68278020844449,56226,20063,Absent,Transmissible
NZ_CP039217.1,38.389540930025255,33655,12920,Absent,Non-transmissible
NZ_CP010092.1,31.70420337593973,126898,40232,Absent,Transmissible
NZ_CP060881.1,52.93478520428875,83754,44335,Absent,Transmissible
NC_016140.1,30.951391773992523,2407,745,Absent,Non-transmissible
NZ_CP097424.1,51.406013411204846,64722,33271,Absent,Transmissible
NZ_LN908215.1,28.391600047727003,16762,4759,Absent,Non-transmissible
NZ_CP022090.2,43.252531612361615,38118,16487,Absent,Non-transmissible
NZ_CP073864.1,28.54826823876197,13570,3874,Absent,Transmissible
NZ_AP022367.1,52.29524141160649,83281,43552,Absent,Transmissible
NZ_LR890296.1,48.36974241930225,6134,2967,Absent,Transmissible
NZ_AP022190.1,50.94998261048781,232899,118662,Absent,Non-transmissible
NZ_CP072989.1,63.07088127866421,36413,22966,Absent,Transmissible
NZ_CP012558.1,43.86363636363637,3960,1737,Absent,Non-transmissible
NZ_AP022343.1,33.732030859743574,108102,36465,Absent,Non-transmissible
NZ_KP091735.1,42.10052416631829,62194,26184,Absent,Transmissible
NZ_MH286946.1,46.48592144477559,44962,20901,Absent,Transmissible
NZ_CP048306.1,45.97937957198091,110182,50661,Absent,Non-transmissible
NC_021278.1,64.18230004513524,172814,110916,Absent,Transmissible
NC_016838.1,49.461314831554006,122799,60738,Absent,Non-transmissible
NZ_CP071082.1,49.091875529288814,110998,54491,Absent,Non-transmissible
NC_009620.1,61.45564056421875,1570951,965438,Absent,Transmissible
NZ_CP036330.1,52.41518901937633,47429,24860,Absent,Non-transmissible
NZ_CP070417.1,50.29312830370014,10405,5233,Absent,Non-transmissible
NZ_CP060753.1,52.662955332485865,68439,36042,Absent,Transmissible
NZ_CP092744.1,35.23516015981891,73333,25839,Absent,Non-transmissible
NZ_AP021949.1,51.46083967591456,4073,2096,Absent,Transmissible
NZ_CP085946.1,65.27455529775716,24567,16036,Absent,Transmissible
NC_008757.1,57.54604561112511,353291,203305,Absent,Transmissible
NZ_LN879484.1,52.90235611299965,85310,45131,Absent,Non-transmissible
NZ_CP061325.1,35.90851791824239,5553,1994,Absent,Non-transmissible
NZ_CP053838.1,25.02263185281811,140289,35104,Absent,Non-transmissible
NZ_CP024986.1,72.1168403980405,241081,173860,Absent,Non-transmissible
NZ_MZ027731.1,29.910714285714285,3360,1005,Absent,Non-transmissible
NZ_LR890300.1,51.98576654389999,160467,83420,Absent,Transmissible
NZ_CP051662.1,50.799665569879714,148312,75342,Absent,Transmissible
NZ_CP039926.1,59.10331935013458,155663,92002,Absent,Transmissible
NZ_CP081738.1,51.59096149412036,8674,4475,Absent,Non-transmissible
NZ_CP032929.1,56.67287486054903,214233,121412,Absent,Transmissible
NZ_CP090436.1,55.58897243107769,11970,6654,Absent,Transmissible
NZ_MZ603802.1,34.3936678614098,33480,11515,Absent,Transmissible
NZ_CP009348.1,33.35192590431405,349602,116599,Absent,Non-transmissible
NZ_CP012356.1,62.42289524868019,53985,33699,Absent,Non-transmissible
NZ_LR135277.1,33.80660015349194,5212,1762,Absent,Non-transmissible
NZ_CP077729.1,29.01561088891756,31004,8996,Absent,Non-transmissible
NC_009751.1,32.44953299186502,29871,9693,Absent,Transmissible
NZ_CP070369.1,64.2793258251348,460652,296104,T6SS,Non-transmissible
NZ_CP042340.1,45.53245516584669,12602,5738,Absent,Non-transmissible
NC_011970.1,29.065479552174345,30101,8749,Absent,Non-transmissible
NZ_AP025733.1,40.80904859897182,271158,110657,Absent,Transmissible
NZ_MN232207.1,42.64150943396226,63865,27233,Absent,Transmissible
NZ_LR217709.1,33.78482972136223,2584,873,Absent,Non-transmissible
NC_005910.1,46.17641306473695,5113,2361,Absent,Transmissible
NZ_CP085435.1,32.12634461544233,106629,34256,Absent,Non-transmissible
NZ_CP022575.1,46.83033656062702,43380,20315,Absent,Transmissible
NC_001381.1,64.93694438701675,4837,3141,Absent,Non-transmissible
NZ_CP093285.1,49.3290286645556,96949,47824,Absent,Transmissible
NZ_AP019549.1,50.09899688992071,228290,114371,Absent,Non-transmissible
NZ_CP095173.1,52.614817298022125,5966,3139,Absent,Non-transmissible
NZ_CP093853.1,47.09080563926411,332171,156422,Absent,Transmissible
NZ_CP087275.1,52.73811760285553,85168,44916,Absent,Non-transmissible
NZ_CP061086.1,48.96100863880458,4283,2097,Absent,Transmissible
NZ_KP205272.1,60.67870036101083,6925,4202,Absent,Transmissible
NZ_CP084906.1,53.13432835820896,670,356,Absent,Non-transmissible
NZ_CP008798.1,55.57895475764276,85473,47505,Absent,Non-transmissible
NZ_CP012106.1,37.07431998286571,4669,1731,Absent,Transmissible
NZ_AP022400.1,52.55558080521153,211224,111010,Absent,Transmissible
NZ_AP014707.1,67.84439102938087,85702,58144,Absent,Non-transmissible
NZ_CP039927.1,56.36861361901503,189955,107075,Absent,Transmissible
NZ_CP091656.1,49.26829268292683,2460,1212,Absent,Transmissible
NZ_CP091883.1,38.79513587293709,16118,6253,Absent,Non-transmissible
NZ_CP028851.1,46.056705470158,238037,109632,Absent,Transmissible
NZ_CP039243.1,39.83871956828356,65228,25986,Absent,Non-transmissible
NZ_CP086617.1,52.68854496322307,138402,72922,Absent,Transmissible
NZ_MK330869.1,57.447202667654686,10796,6202,Absent,Transmissible
NZ_CP059019.1,26.11140127192848,32549,8499,Absent,Non-transmissible
NZ_CP027854.1,43.94220599093976,50109,22019,Absent,Non-transmissible
NZ_CP010960.1,60.85112984125343,19339,11768,Absent,Transmissible
NZ_CP086936.1,65.34883438119444,82231,53737,Absent,Non-transmissible
NZ_CP097699.1,48.77345897828028,113123,55174,Absent,Non-transmissible
NC_012577.1,33.05296442687747,94875,31359,Absent,Transmissible
NZ_CP068447.1,51.395069347451845,61574,31646,Absent,Transmissible
NZ_CP084059.1,70.61526044576893,48321,34122,Absent,Non-transmissible
NZ_CP069492.1,49.20967434774329,5251,2584,Absent,Transmissible
NZ_CP010830.1,45.31131843508033,215551,97669,Absent,Transmissible
NZ_KY126370.1,53.70491175882194,114969,61744,Absent,Transmissible
NZ_CP016845.1,31.22152904169253,95053,29677,Absent,Transmissible
NZ_CP083799.1,34.75129151291513,33875,11772,Absent,Non-transmissible
NZ_LT985386.1,48.27234290712932,6859,3311,Absent,Transmissible
NZ_CP023287.1,61.60075842385001,99153,61079,Absent,Transmissible
NZ_CP048403.1,35.714285714285715,3346,1195,Absent,Non-transmissible
NZ_CP079808.1,50.67571744748198,161754,81970,Absent,Transmissible
NC_008119.1,45.43514566709965,10778,4897,Absent,Non-transmissible
NZ_CP080367.1,46.37230715437363,51479,23872,Absent,Transmissible
NZ_CP010831.1,50.0542279959478,83905,41998,Absent,Transmissible
NZ_CP023181.1,33.60627772091436,2931,985,Absent,Non-transmissible
NZ_CP090069.1,35.58808682483594,9905,3525,Absent,Transmissible
NC_017326.1,62.4331733434616,1632395,1019156,Absent,Non-transmissible
NZ_CP014614.1,36.48756616398682,20026,7307,Absent,Transmissible
NZ_CP094875.1,33.08594329820395,6737,2229,Absent,Transmissible
NZ_CP053387.1,48.21600771456124,2074,1000,Absent,Non-transmissible
NZ_CP020905.1,42.70876407774075,41111,17558,Absent,Transmissible
NZ_CP091220.1,36.46272855133615,5688,2074,Absent,Transmissible
NZ_CP066252.1,54.14370217834575,99066,53638,Absent,Transmissible
NZ_CP022369.1,69.77936095731569,568757,396875,Absent,Non-transmissible
NZ_MN657061.1,40.54455445544554,4040,1638,Absent,Non-transmissible
NZ_LT976998.1,57.9469044628854,332834,192867,Absent,Transmissible
NZ_CP015142.1,49.80353634577603,4072,2028,Absent,Transmissible
NZ_CP064307.1,42.836398838334944,57848,24780,Absent,Non-transmissible
NZ_CP035646.1,36.93234476367007,4316,1594,Absent,Non-transmissible
NZ_LT963399.1,55.195568714672255,70589,38962,Absent,Non-transmissible
NC_010886.1,51.79312871448343,98264,50894,Absent,Non-transmissible
NZ_CP041042.1,65.97202566279837,84792,55939,Absent,Non-transmissible
NZ_CP043883.1,34.60645664683507,51265,17741,Absent,Non-transmissible
NC_009669.1,56.157580524916206,170351,95665,Absent,Transmissible
NZ_CP072771.1,34.56375838926174,67348,23278,Absent,Non-transmissible
NZ_KR014106.1,58.33389575037682,44451,25930,Absent,Transmissible
NZ_CP085886.1,61.25876684759408,81985,50223,Absent,Non-transmissible
NZ_CP047293.1,60.153543865335145,49367,29696,Absent,Transmissible
NZ_CP024609.1,60.58195592286501,87120,52779,Absent,Non-transmissible
NZ_CP015273.1,65.98435234971778,97267,64181,Absent,Transmissible
NC_010517.1,63.68863100442466,37743,24038,Absent,Non-transmissible
NZ_CP018223.1,59.92462515635407,61559,36889,Absent,Transmissible
NZ_CP015289.1,64.17447926881889,152958,98160,Absent,Transmissible
NC_017476.1,43.70140511139779,57362,25068,Absent,Transmissible
NZ_OM001476.1,50.49366015749976,178159,89959,Absent,Non-transmissible
NC_019039.1,42.67767661796881,56676,24188,Absent,Transmissible
NC_019338.1,61.757587464633495,88007,54351,Absent,Transmissible
NZ_CP036105.1,33.699963609898106,109920,37043,Absent,Transmissible
NZ_CP087282.1,51.1972987909667,132089,67626,Absent,Transmissible
NZ_AP025822.1,47.29383699553532,365536,172876,Absent,Transmissible
NZ_LR898881.1,47.22007722007722,5180,2446,Absent,Transmissible
NZ_CP066298.1,36.46904512067157,19060,6951,Absent,Transmissible
NZ_CP091071.1,53.94683965784488,87095,46985,Absent,Transmissible
NZ_OW967009.1,51.8371757925072,8328,4317,Absent,Transmissible
NZ_CP084394.1,48.95896091008967,112868,55259,Absent,Non-transmissible
NZ_CP029867.1,50.62601915543643,106706,54021,Absent,Non-transmissible
NZ_MH722218.1,51.43128087508821,90688,46642,Absent,Transmissible
NZ_CP031187.1,38.97094430992736,24780,9657,Absent,Non-transmissible
NZ_KP398867.1,51.12928427930762,147837,75588,Absent,Transmissible
NZ_MG545909.1,53.80395797291025,118495,63755,Absent,Transmissible
NZ_CP054360.1,41.19428818693206,2311,952,Absent,Non-transmissible
NZ_CP010452.1,50.98966704936854,21775,11103,Absent,Transmissible
NZ_CP041908.1,38.153310104529616,574,219,Absent,Non-transmissible
NZ_CP075305.1,53.646237887257584,78533,42130,Absent,Non-transmissible
NZ_CP056516.1,53.118312301675154,216816,115169,Absent,Non-transmissible
NZ_CP043423.1,45.87599750894319,69047,31676,Absent,Transmissible
NZ_CP037107.1,26.27677100494234,1214,319,Absent,Non-transmissible
NZ_CP085424.1,34.34483767183387,13676,4697,Absent,Transmissible
NZ_CP037418.1,47.70711584737023,29090,13878,Absent,Non-transmissible
NZ_CP052115.1,66.92796508098628,2075660,1389197,T6SS,Non-transmissible
NC_017499.1,31.9967731579424,242962,77740,Absent,Non-transmissible
NZ_CP030107.1,41.231028667790895,2372,978,Absent,Non-transmissible
NZ_CP041734.1,46.27477216837842,276520,127959,Absent,Transmissible
NZ_CP004253.1,29.544213973799128,7328,2165,Absent,Non-transmissible
NZ_CP066494.1,29.0893760539629,2372,690,Absent,Non-transmissible
NC_013338.1,29.33465346534653,50500,14814,Absent,Transmissible
NZ_CP072792.1,49.328954882924045,21012,10365,Absent,Transmissible
NZ_CP073374.1,53.227738331369,104361,55549,Absent,Transmissible
NZ_MT683616.1,37.88972693905538,24793,9394,Absent,Transmissible
NZ_CP067610.1,52.55067729849169,72863,38290,Absent,Non-transmissible
NZ_CP020968.2,61.72095520113599,57747,35642,Absent,Transmissible
NZ_CP064045.1,53.103831611866816,163717,86940,Absent,Transmissible
NZ_CP010676.1,56.44401948731959,109815,61984,Absent,Non-transmissible
NZ_MT039175.1,48.908011583675545,145377,71101,Absent,Transmissible
NZ_MK875281.1,41.83058279032946,32842,13738,Absent,Transmissible
NZ_CP066408.1,32.042095835199284,4466,1431,Absent,Non-transmissible
NZ_AP018805.1,50.0331488895122,78434,39243,Absent,Non-transmissible
NZ_CP094644.1,39.56246790976388,153863,60872,Absent,Non-transmissible
NZ_CP082838.1,37.21615531287918,17307,6441,Absent,Transmissible
NZ_CP029577.1,51.846024527447895,139191,72165,Absent,Transmissible
NZ_CP074418.1,44.65592166785852,109074,48708,Absent,Non-transmissible
NZ_MT230202.1,55.10835913312693,323,178,Absent,Non-transmissible
NZ_CP079793.1,38.45547930107132,340235,130839,Absent,Non-transmissible
NZ_CP032614.1,32.241673436230705,492400,158758,Absent,Non-transmissible
NZ_CP036178.1,46.3938251811062,238258,110537,Absent,Transmissible
NZ_MH781720.1,46.651935616646085,46161,21535,Absent,Transmissible
NZ_CP041450.1,49.975442043222,4072,2035,Absent,Transmissible
NC_009790.1,49.849105410648846,74224,37000,Absent,Non-transmissible
NZ_CP063783.1,65.38442706387146,388045,253721,Absent,Non-transmissible
NZ_CP018693.1,52.07774389397146,180027,93754,Absent,Transmissible
NZ_CP007648.1,33.87066817316473,129218,43767,Absent,Non-transmissible
NZ_CP039905.1,59.10509125840538,260250,153821,Absent,Transmissible
NZ_CP065450.1,49.26096724606835,109941,54158,Absent,Non-transmissible
NZ_CP064446.1,31.96096598720784,66916,21387,Absent,Transmissible
NZ_KM659095.1,61.96852567642187,7244,4489,Absent,Transmissible
NZ_CP068866.1,51.19135734421015,63499,32506,Absent,Transmissible
NZ_CP017574.1,31.933017797641448,364037,116248,Absent,Non-transmissible
NZ_MN913381.1,52.037964185889365,65114,33884,Absent,Transmissible
NZ_CP078037.1,52.19019703631331,6141,3205,Absent,Transmissible
NZ_MK962687.1,60.28594122319301,3777,2277,Absent,Transmissible
NZ_CP062907.1,51.2081087833256,112076,57392,Absent,Transmissible
NZ_CP084470.1,57.41697951919856,400082,229715,Absent,Non-transmissible
NZ_MF951102.1,34.64316423043852,11630,4029,Absent,Non-transmissible
NZ_CP014496.1,51.02037242937062,114223,58277,Absent,Transmissible
NZ_AP019401.1,51.5648630366757,181837,93764,Absent,Transmissible
NZ_CP059949.1,41.32547395252509,37662,15564,Absent,Transmissible
NZ_CP041286.1,49.86467605303526,102347,51035,Absent,Non-transmissible
NZ_CP046064.1,35.383256137720544,37351,13216,Absent,Non-transmissible
NZ_CP098035.1,48.52307862190813,36224,17577,Absent,Non-transmissible
NZ_CP018855.1,59.12973118762924,211337,124963,Absent,Transmissible
NZ_CP050361.1,52.98322025853645,107451,56931,Absent,Transmissible
NZ_CP053672.2,31.355161108623754,69239,21710,Absent,Transmissible
NZ_CP009698.1,33.044203150885856,94767,31315,Absent,Transmissible
NZ_AP019190.1,48.77097044558332,72781,35496,Absent,Transmissible
NZ_MG948330.1,49.50624042040727,91340,45219,Absent,Transmissible
NZ_CP047846.1,28.38119219408261,20651,5861,Absent,Non-transmissible
NZ_CP024331.1,33.88298863424632,10734,3637,Absent,Non-transmissible
NC_004604.2,36.47080664624525,53865,19645,Absent,Non-transmissible
NC_018675.1,35.291920826590314,40165,14175,Absent,Transmissible
NZ_CP015095.1,65.8426631950902,134425,88509,Absent,Non-transmissible
NZ_MG780294.1,49.85512154737714,53148,26497,Absent,Non-transmissible
NC_012886.1,52.04133974200657,52637,27393,Absent,Non-transmissible
NC_002682.1,59.87566905887718,208315,124730,Absent,Transmissible
NZ_CP039106.1,40.61027262423194,33526,13615,Absent,Non-transmissible
NZ_CP023413.1,26.35581459894532,72060,18992,Absent,Transmissible
NZ_CP035145.1,42.143507035758354,80233,33813,Absent,Transmissible
NZ_CP073022.1,42.17830109335576,2378,1003,Absent,Non-transmissible
NC_006881.1,48.46116855013224,8318,4031,Absent,Transmissible
NZ_CP055202.1,50.555670676511326,91691,46355,Absent,Transmissible
NZ_LT963397.1,55.57730348776679,144075,80073,Absent,Transmissible
NZ_AP024522.1,46.98756128195778,98724,46388,Absent,Non-transmissible
NZ_CP023519.1,62.204099625303066,204165,126999,Absent,Non-transmissible
NZ_CP047456.1,45.82338902147971,7542,3456,Absent,Transmissible
NZ_AP020325.1,29.14956982131039,30220,8809,Absent,Non-transmissible
NZ_CP081744.1,50.68603115922894,94675,47987,Absent,Non-transmissible
NZ_OW970447.1,52.64260097903196,38201,20110,Absent,Non-transmissible
NZ_CP070958.1,42.75934364503776,46743,19987,Absent,Transmissible
NZ_CP030264.1,60.33405810925713,1583018,955099,Absent,Transmissible
NZ_MH785252.1,28.99356857291848,17259,5004,Absent,Non-transmissible
NZ_CP079119.1,49.24776233098457,5251,2586,Absent,Transmissible
NZ_CP084299.1,37.79890521463555,6942,2624,Absent,Transmissible
NZ_CP097522.1,32.21667854597292,7015,2260,Absent,Transmissible
NZ_CP059937.1,51.10143442622951,3904,1995,Absent,Transmissible
NZ_CP065774.1,35.49871400652041,226673,80466,Absent,Transmissible
NZ_HM807368.1,45.27575442247659,9610,4351,Absent,Non-transmissible
NC_005206.1,58.37274290627687,9304,5431,Absent,Non-transmissible
